gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3710571361	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:GI39	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Clusiaceae	Garcinia	Garcinia indica		SPECIES	Garcinia indica (Thouars) Choisy	Garcinia indica	(Thouars) Choisy	IN	Pavas	Maharashtra	PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	16.867222	73.3175	650.0										3189566	3189566	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.422Z		COORDINATE_ROUNDED
3710571360	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Palanisamy_N_434	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Phyllanthaceae	Phyllanthus	Phyllanthus emblica		SPECIES	Phyllanthus emblica L.	Phyllanthus emblica	L.	IN		Meghalaya	PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	24.839	85.09											5381660	5381660	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.421Z		
3710571359	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:PNG_Pometia16	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Pometia	Pometia pinnata		SPECIES	Pometia pinnata J.R.Forst. & G.Forst.	Pometia pinnata	J.R.Forst. & G.Forst.	PG	Madang: Wanang Conservation area		PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	-5.233333	145.083333							2010-07-02	2	7	2010	5577338	5577338	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.433Z		COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH;CONTINENT_COUNTRY_MISMATCH
3710571358	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Palanisamy_N_435	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Phyllanthaceae	Phyllanthus	Phyllanthus emblica		SPECIES	Phyllanthus emblica L.	Phyllanthus emblica	L.	IN		Mizoram	PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	25.486	92.951											5381660	5381660	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.432Z		
3710571357	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Colin29	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Eusideroxylon	Eusideroxylon zwageri		SPECIES	Eusideroxylon zwageri Teijsm. & Binn.	Eusideroxylon zwageri	Teijsm. & Binn.	MY	Batu Tantiliwau, Sapulut FR	Sabah	PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	4.65855	116.56603	15.0						2017			2017	3033968	3033968	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.411Z		
3710571356	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Palanisamy_N_436	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Neolamarckia	Neolamarckia cadamba		SPECIES	Neolamarckia cadamba (Roxb.) Bosser	Neolamarckia cadamba	(Roxb.) Bosser	IN		Nagaland	PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	11.938	75.653											2896888	2896888	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.412Z		
3710571355	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Palanisamy_N_437	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Neolamarckia	Neolamarckia cadamba		SPECIES	Neolamarckia cadamba (Roxb.) Bosser	Neolamarckia cadamba	(Roxb.) Bosser	IN		Odisha	PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	11.718	76.177											2896888	2896888	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.410Z		
3710571354	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Palanisamy_N_430	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Phyllanthaceae	Phyllanthus	Phyllanthus emblica		SPECIES	Phyllanthus emblica L.	Phyllanthus emblica	L.	IN		Maharashtra	PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	13.018	75.943											5381660	5381660	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.408Z		
3710571353	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:Palanisamy_N_431	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Phyllanthaceae	Phyllanthus	Phyllanthus emblica		SPECIES	Phyllanthus emblica L.	Phyllanthus emblica	L.	IN		Maharashtra	PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	15.016	74.572											5381660	5381660	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.407Z		
3710571352	203864a6-7d00-444b-bba2-095ff968e4d4	AllianceBioversityCIAT:GI31	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Clusiaceae	Garcinia	Garcinia indica		SPECIES	Garcinia indica (Thouars) Choisy	Garcinia indica	(Thouars) Choisy	IN	Ratnagiri	Maharashtra	PRESENT		fee3882f-5360-4f01-a1ca-767c48fa629c	17.029167	73.298611	650.0										3189566	3189566	HUMAN_OBSERVATION	Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT)						CC_BY_4_0					2025-01-31T18:21:54.405Z		COORDINATE_ROUNDED
